Timestep  Iteration  resNorm(0)  resNorm(1)  
149  1  0.7602568558925994  0.0007714574882224  
150  1  1.0781810863437120  0.0013065170993071  
150  2  0.0315741243694364  0.0009787248148304  
151  1  0.3190142488884611  0.0003077605318089  
152  1  0.5057004398605428  0.0004637889327607  
153  1  0.7885104112947769  0.0008094861898084  
154  1  1.1060572232313730  0.0013621743906533  
154  2  0.0222593796519889  0.0010232558458463  
154  3  0.0020035445247750  0.0000106034919441  
155  1  0.3295111137577079  0.0003158010348367  
156  1  0.5219538260980676  0.0004827005276895  
157  1  0.8110324128370155  0.0008345271265490  
158  1  1.1265882456545098  0.0014120405680449  
158  2  0.0163622056454608  0.0010582196183796  
158  3  0.0009197501671823  0.0000076689134291  
159  1  0.3418190284348442  0.0003289685252434  
160  1  0.5402710705487787  0.0004968122257874  
161  1  0.8338890526563419  0.0008663483598351  
162  1  1.1481498411214355  0.0014591045948786  
162  2  0.0022946060889693  0.0010950463798881  
162  3  0.0004234781797306  0.0000013016561756  
163  1  0.3543379544909268  0.0003383035576114  
164  1  0.5582756053487462  0.0005167489058786  
165  1  0.8570354498618910  0.0008947243888847  
166  1  1.1683795932996082  0.0015132555891341  
166  2  0.0036853052645948  0.0011341246948312  
166  3  0.0003095460242690  0.0000018348237395  
167  1  0.3675404318667845  0.0003521173257809  
168  1  0.5773962325096815  0.0005327462505293  
169  1  0.8801149438838610  0.0009284132964939  
170  1  1.1888283612628623  0.0015645979631959  
170  2  0.0003359140790779  0.0011739917197738  
170  3  0.0000932777936626  0.0000001997777530  
171  1  0.3807785172148631  0.0003627321036216  
172  1  0.5961101750942043  0.0005535931993995  
173  1  0.9032406402239400  0.0009594806261395  
174  1  1.2079848176528074  0.0016222743362241  
174  2  0.0003995391849546  0.0012158119923217  
174  3  0.0001317963306528  0.0000002176771468  
175  1  0.3948319362030774  0.0003771360732224  
176  1  0.6160614785596483  0.0005713894020364  
177  1  0.9264083722789779  0.0009953310188063  
178  1  1.2272926240466393  0.0016781706654865  
178  2  0.0005292768680555  0.0012590738327091  
178  3  0.0003970788352102  0.0000005054782980  
179  1  0.4088585423902033  0.0003890421457571  
180  1  0.6354974458615326  0.0005934051742786  
181  1  0.9494244216239103  0.0010292794811580  
181  2  0.0043900473901253  0.0007685482891507  
182  1  0.2574766344474350  0.0002419681971421  
183  1  0.4132376150401494  0.0003635744783016  
184  1  0.6637340174864566  0.0006353327757789  
185  1  0.9762338707209823  0.0010708167525224  
185  2  0.0378522550555098  0.0008042674510001  
186  1  0.2764926011935984  0.0002571670574451  
187  1  0.4435724626785255  0.0003936728339774  
188  1  0.7054138040501948  0.0006821888993172  
189  1  1.0219685725383505  0.0011521969399950  
189  2  0.0446648500618922  0.0008648368690203  
190  1  0.2971246663717685  0.0002747883794967  
191  1  0.4717446075539700  0.0004189000099288  
192  1  0.7437437734463698  0.0007276729418440  
193  1  1.0611992913609067  0.0012287857949334  
193  2  0.1452692055806477  0.0009328366413366  
194  1  0.3886877063206227  0.0003560341636589  
195  1  0.5933290414825969  0.0005413275520518  
196  1  0.8949716656321394  0.0009310979836315  
197  1  1.2001837229871901  0.0015729751177207  
197  2  0.0545252792591916  0.0011791383950954  
197  3  0.0056496151477407  0.0000261015197293  
198  1  0.3881740171732967  0.0003650428374917  
199  1  0.6061844874086281  0.0005537923244357  
200  1  0.9149102285401423  0.0009637342594542  
201  1  1.2180813037364380  0.0016269622532031  
201  2  0.0410157301146901  0.0012205498837335  
201  3  0.0020744042306491  0.0000197521281668  
202  1  0.4022938292444768  0.0003773512907051  
203  1  0.6264276429518383  0.0005745113509312  
204  1  0.9388127202799632  0.0009984548089067  
205  1  1.2366898890999491  0.0016865788603863  
205  2  0.0021826263827801  0.0012647646364847  
205  3  0.0002542883901800  0.0000010317844680  
206  1  0.4162745796012132  0.0003914110617611  
207  1  0.6458538197380672  0.0005951013401134  
208  1  0.9609833149900696  0.0010351892195576  
208  2  0.0039300001091821  0.0007725181531683  
209  1  0.2619727600383917  0.0002436580075894  
210  1  0.4202250579795823  0.0003641305211703  
211  1  0.6734776266308182  0.0006388167598312  
212  1  0.9875122547486418  0.0010748897970791  
212  2  0.0038817755924154  0.0008068245650688  
213  1  0.2717760455899623  0.0002487126796213  
214  1  0.4359477296947503  0.0003808533611181  
215  1  0.6950342932460866  0.0006598439369435  
216  1  1.0107143318649898  0.0011166033612737  
216  2  0.0068609571164346  0.0008367182838234  
217  1  0.2824884455615158  0.0002597971600827  
218  1  0.4520073124264489  0.0003941780777934  
219  1  0.7174727867729048  0.0006871039744192  
220  1  1.0349221657635042  0.0011595593137846  
